titulo,empresa,descripcion
Software Developer,IBM,"Introduction

Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.



Your Role and Responsibilities

As a Software engineer we require someone with the ability of provide and propose new solutions/automations by using trend technology (eg. Cloud/AI).

Monitoring and support in ETL Projects Legacy projects and migration to Cloud.



Required Technical and Professional Expertise

At least 2 years of experience programing with Javascript, Python and Batch scriptingExperience analyzing and mitigating project risksExperience, knowledge or familiarity with Data AnalyticsAble to create optimize solutions that provide value for business needsImplementation of Automation processGood Communication skills to business and teammates.Fluent English







Preferred Technical and Professional Expertise

Development Software Cycle and Automation testingContinuous integration/ Continuous deliveryETL tools (DataStage, Informatica, others)SQL experienceSys AdminKnowledge/Experience in Cloud solutions







About Business Unit

The Chief Information Officer (CIO) organization owns IBM’s internal IT strategy and provides the tools, computers, devices, and infrastructure that IBMers use to do their jobs every day. We also own the more than 4,000 applications that keep IBM running, from supply chain and logistics to sales and marketing and finance.



Your Life @ IBM

What matters to you when you’re looking for your next career challenge?



Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.



Impact. Inclusion. Infinite Experiences. Do your best work ever.



About IBM

IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.



Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.



Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
SOA Developer - Oracle Fusion Middleware,H&B TALENT ATTRACTION,"Toronto-based software developer is applying for SOA developer with the following profile



Job description:



Expertise with Oracle Fusion Middleware technologies, including hands-on implementation with Oracle SOA Suite, such as Mediator, OSB, and BPE

Hands on experience with BPEL, JMS Adapter,DB Adapter, REST Adapter, SOAP and XSLT

Good understanding of data formats like XML, JSON, EDI, CSV, NVP.

Good exposure to webservices / API security.

Experience with Oracle Rules, WebLogic and some ERP integration experience

Experience in systems integration involving Web services or APIs, Java or J2EE, SOA technologies, and REST Framework

Experience with Web service standards, protocols, design patterns, and languages, including REST or JSON, SOAP, XML or XSL, and WSDL

Workplace: permanent home office



Salary: $ 45,000 to $ 55,000 net."
Full Stack Engineer - Java,Nearsoft,"We are looking for a stellar and passionate Full Stack Engineer to develop new and modify existing microservices. You’ll be working across multiple teams from platform engineers to designers and data scientists to support the redesign of our web and mobile apps to delight our users. Your work will support AI algorithms that employ human-computer interaction data to identify patterns of brain activity
and predict the impact that different interventions have on neuropsychological function.
This is a unique opportunity to be part of an exceptional company that is transforming how we diagnose and treat brain disorders affecting hundreds of millions of people globally by applying some of the most innovative techniques in artificial intelligence.What you will be doing: Create REST based microservices and APIs to support mobile and web applicationsContribute to developing a culture of testing and quality within the teamCollaborate with QA team in implementing and maintaining testautomationContinuously discover, evaluate and implement new technologies orservices to maximize development efficiencyWho you are: You feel good about your work knowing that what you do will affect the lives of millions of people around the worldEntrepreneurial and eager to thrive in a startup environmentStrong communicator (oral and written)A good person, highly ethical and accepting of othersYour background and skills: An amazing developer; technical challenges of all types excite youFluent in either TypeScript or Java/Spring/Spring BootExperienced with MongoDBExperienced with service design patterns, multithreading, scalability, and performanceExcellent knowledge of algorithms and data structuresAble to create a technical design, slicing and sizing of new features andfunctionsProven track record of delivering on tight schedulesB.S. in Computer Science or related field with 4+ years of software development experience in Java/Spring/Spring Boot or TypeScript/Node.jsTipo de puesto: Tiempo completo, IndefinidoBeneficios:Caja de ahorroDías por enfermedadHorarios flexiblesPrograma de referidosSeguro de gastos médicosSeguro de gastos médicos mayoresSerguro dentalTrabajar desde casaVacaciones superiores a las de leyVales de despensaExperiencia:Java: 5 años (Requisito mínimo)Microservices: 1 año (Requisito mínimo)Nivel de Inglés:Nivel intermedio alto (Requisito mínimo)Trabajar desde casa:Sí, siempre"
Full Stack Developer with Angular,Charger Logistics Inc,"Description: Charger Logistics is a world class asset-based carrier. We specialize in delivering your assets, on time and on budget. With the diverse fleet of equipment, we can handle a range of freight, including dedicated loads, specialized hauls, temperature-controlled goods and HAZMAT cargo.Charger logistics invests time and support into its employees to provide them with the room to learn and grow their expertise and work their way up. We are entrepreneurial-minded organization that welcomes and support individual idea and strategies. Charger Logistics is seeking a well-rounded individual able to work in a fast-paced environment to join our team at the company’s office in Monterrey, Mexico. We are seeking a highly skilled ASP.NET/C#/MVC developer with a strong background in building high-performance web applications.**Must have worked on Angular 2+ version**Responsibilities: Build new applications with .NET 4.x / ASP.NET / MVC / C# / SQL Server 2012/2014 and WCF Web Services.Build and maintain Windows Services and console applications with .NET 4.x, SQL Server 2012/2014, WCF web-services, XML, web APIs.Develop new functionality on our existing software applications.Lead/mentor developers and share knowledge through knowledge-sharing presentations.Participate in a small, experienced, energetic team on a rapid, agile development schedule.All other responsibilities as assignedRequirements: Must Have:Minimum of 5-8 years’ experience as a full stack developer.1-2-year experience with client-side frameworks and libraries (Angular 2+, JQuery and Bootstrap)In depth knowledge of the .NET 3.5/4.6 Framework, including Visual Studio 2017 C#, ASP.NET, MVC, WCF Web Services, ADO.NET, LINQ and Entity Framework.Ability to design and optimize SQL Server 2012/2014 stored procedures.Strong experience designing and working with n-tier architectures (UI, Business Logic Layer, Data Access Layer) along with some experience with service-oriented architectures (SOA).Ability to construct workflow charts and diagrams to illustrate conceptsAbility to adapt quickly to an existing, complex environment.Candidate should be a self-motivated, independent, detail oriented, responsible team-player and exhibit exceptional relationship management skillsNice to Have:Bachelor's degree in Computer Science, Software Engineering or a related area is preferred.Microsoft Certification (asset).Experience as a lead developer would be a plus.Experience with SharePoint Online, PowerApps and Flow development would be a plusJob Type: PermanentExperience:FullStack: 7 years (Preferred)Angular: 7 years (Preferred)"
Power BI Consultant,NORMATIVIDAD EN TECNOLOGIAS DE LA INFORMACION,"Project Description: 
Dashboard and alerts, embedded in CRM for the Salesforce 360 of their customers and alerts to help focus activities of the sales reps and their conversations with customersResource Description: Power BI Front End DeveloperRequirements: +2 years experience in BI development, visualizations, Power BIResponsibilities:Development visualizations in Power BI according to customer needsAutomate visualizations data sourcingPlace: Remote temporal
Duration: 1 month
Start date: 23/Nov/2020Duración del contrato: 1 mesFecha límite para postularse: 18/11/2020Fecha de inicio prevista: 23/11/2020Tipo de puesto: Tiempo completo, Por contratoSalario: $1.00 - $2.00 al mesHorario:DiurnoLunes a viernesTurno de 8 horasTrabajar desde casa:Sí, siempre"
.Net Developer - Senior,Charger Logistics Inc,"Description: Charger Logistics is a world class asset-based carrier. We specialize in delivering your assets, on time and on budget. With the diverse fleet of equipment, we can handle a range of freight, including dedicated loads, specialized hauls, temperature-controlled goods and HAZMAT cargo.Charger logistics invests time and support into its employees to provide them with the room to learn and grow their expertise and work their way up. We are entrepreneurial-minded organization that welcomes and support individual idea and strategies. Charger Logistics is seeking a well-rounded individual able to work in a fast-paced environment to join our team at the company’s office in Monterrey, Mexico. We are seeking a highly skilled ASP.NET/C#/MVC developer with a strong background in building high-performance web applications.Responsibilities: Build new applications with .NET 4.x / ASP.NET / MVC / C# / SQL Server 2012/2014 and WCF Web Services.Build and maintain Windows Services and console applications with .NET 4.x, SQL Server 2012/2014, WCF web-services, XML, web APIs.Develop new functionality on our existing software applications.Lead/mentor developers and share knowledge through knowledge-sharing presentations.Participate in a small, experienced, energetic team on a rapid, agile development schedule.All other responsibilities as assignedRequirements: Must Have:Minimum of 5-8 years’ experience as a full stack developer.1-2-year experience with client-side frameworks and libraries (Angular 2+, JQuery and Bootstrap)In depth knowledge of the .NET 3.5/4.6 Framework, including Visual Studio 2017 C#, ASP.NET, MVC, WCF Web Services, ADO.NET, LINQ and Entity Framework.Ability to design and optimize SQL Server 2012/2014 stored procedures.Strong experience designing and working with n-tier architectures (UI, Business Logic Layer, Data Access Layer) along with some experience with service-oriented architectures (SOA).Ability to construct workflow charts and diagrams to illustrate conceptsAbility to adapt quickly to an existing, complex environment.Candidate should be a self-motivated, independent, detail oriented, responsible team-player and exhibit exceptional relationship management skillsNice to Have: Bachelor's degree in Computer Science, Software Engineering or a related area is preferred.Microsoft Certification (asset).Experience as a lead developer would be a plus.Experience with SharePoint Online, PowerApps and Flow development would be a plusBenefits: We offer competitive pay package, savings fund, health benefits, food coupons, performance-based bonus, paid time-off, and Christmas bonus.Job Types: Full-time, PermanentExperience:software development: 7 years (Preferred)"
IT BI and Reporting Specialist,GM Financial,"Overview:

The IT BI and Reporting Specialist is part of a team of business analysts and report developers who facilitate business intelligence processes and procedures development and implementation. This role is responsible for: recommending strategic BI solutions, collaboration with data governance office, business analyst activities in support of BI projects and strategies at IO level including Mexico, Chile, Colombia, Brazil and US.

The IT BI Reporting Specialist along with the team acts as an intermediary between the technical community and the business community working with IT project teams and business clients.


Location: Monterrey, N.L.
Reports to: BI and Reporting Senior Manager
Responsibilities:
Partners with stakeholders, process specialists, and users to define strategic solutions for business intelligence and reporting needs.
Responsible for documenting business requirements himself or through the team; translates non-technical requirements into technical business requirements.
Partners with business departmental teams to define and document business requirements for new metrics and reports.
Elicits requirements using interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, task and workflow analysis.
Uses current knowledge of business and technology to recommend system solutions and process improvements.
Support prototyping by creating reports to validate business requirements.
Responsible to engage with business partners to conduct user acceptance testing.
Has a solid understanding of overall business and corporate objectives and works under broad project direction with the ability to establish the team’s specific tasks.
Interfaces directly with senior management where required.
Takes a “hands on” approach to project work and is adaptable in terms of style and activities undertaken.
Partners with architecture and solution delivery teams to enable BI applications that have long-term value.
Ensures the timely and accurate generation of regular reporting from MIS team
Performs ad hoc activities in support of analysis and reporting including innovation and exploring new tools.
Responsible for the SLAs of the reporting ticketing system and reporting team’s productivity
Responsible for reports automation and increasing report development efficiency
Ensures reporting team’s development procedures and methodologies adhere to global standards and company policies.
Partners with data quality and production support teams to uncover data quality issues that impact reporting pursuing a solution in collaboration with those teams
Qualifications:
Bachelor Degree required (Computer Science, Informatics, Business Intelligence preferred).
Availability to travel internationally for business purposes.
+5 Years of BA experience in BI, Data Warehousing and Reporting
Fluent in Spanish & English (Portuguese desirable).
Experience in Automotive Financial sector is desirable.
Prior Business Intelligence or Decision Management System experience.
Experience documenting use cases and process mapping.
Proficient in Cognos Report Studio, or other end-user reporting tool.
Experience with ALM or other requirements management tool


Skills & Knowledge
Prior reporting or analytics experience
Experience with IBM Cognos Analytics Suite as developer is required.
Experience with SQL, WPS or SAS.
Knowledge of the system requirements definition processes and modeling methods and tools.
Outstanding communication skills in both written and spoken format.
Proven ability to quickly learn new applications, processes, and procedures.
Ability to apply general organizational knowledge of the business and systems processes in problem analysis.
High management and analytical skills
#LI-MA1
Disclaimer: Mexico - GM Financial is an Equal Opportunity Employer and is committed to diversity and inclusion at every level of our organization. We do not discriminate against any applicant or employee based on race, color, age, gender, marital status, national origin, religion, sexual orientation, gender identity, veteran status, disability, or any other that undermines human dignity and aims to nullify or impair people´s rights and freedoms."
DevOps Engineer,HUMAN RETAIL / HUMAN STAFF,"IMPORTANT SOFTWARE COMPANY HAS AN IMMEDIATE NEED FOR:





DEVOPS ENGINEER



We are looking for a DevOps Engineer who will work across all levels of our stack, including infrastructure, architecture, and data. You will be responsible for managing the infrastructure and delivery of our core applications and integrations of third-party tools for our mobile device management solutions. You will partner with our product, design, and sales teams and will be responsible for developing sound technical solutions that will allow us to scale the business as we grow.



Essential duties and responsibilities:



Develop and maintain automation tools for DevOps.

Analyze current technology utilized within the company and develop steps and processes to improve and expand upon them.

Setup GCP environment, build jobs, pipelines for development and release process.

Develop performance monitoring dashboard and proactively manage capacity to support our business growth.

Work with developers to resolve issues related to development and production operation.

Work closely with the engineering and sales teams to develop software applications from inception through completion.

Critical thinker and problem-solving skills.

Participates in architecture and software development activities.

Deep understanding of system architecture.

Collaborate with stakeholders and project team to identify needs and gather requirements.

Advocate automation of every part of the software delivery lifecycle.

Review pull requests and maintain good code quality.

Collaborate with other team members and stakeholders.

Work to understand product requirements from other team members.





Qualifications and requirements:



2+ years of professional experience in DevOps

1+ years of professional experience managing continuous integration systems, i.e. Jenkins


2+ years’ experience with shell script and python

Familiar with the CI/CD processes

Familiar with GCP/AWS services

Hands on experience on databases like MySQL and Mongo

Experience using Maven, Jenkins and Artifactory

Proficient in establishing, documenting, and executing test strategies from business and functional requirements

Familiar with Scrum/Agile methodologies and process

Understanding and Comfortable with Version control systems: Git

Maintain a “can-do” attitude and a sense of urgency for a high growth/fast paced environment

Experience with Jira and Confluence

Unix/Linux command-line knowledge

Excellent interpersonal and communication skills

Good time-management skills

Intermediate to Advanced English communication skills

Bachelor of Science degree in Computer Science or Computer Engineering









Nice to have:



Hands on experience in networking security, databases, and cloud systems, preferably GCP

Familiar with Java, NodeJS, JavaScript

Experience working on a small team

GCP certification is a plus









Considerations:



This position will be located in Guadalajara, Jalisco, Mexico


Competitive salary


Full time position with 100% payroll scheme + additional benefits


Friendly, small company environment with progressive culture, beverages and snacks"
DataStage Developer,IBM,"Introduction

As an Application Developer, you will lead IBM into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of IBM is in your hands as you transform vital business needs into code and drive innovation. Your work will power IBM and its clients globally, collaborating and integrating code into enterprise systems. You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to IBM and make a global impact!



Your Role and Responsibilities

Support events registration pages for IBM to serve as input method to transfer data from client registration portals to internal storage systems.

Translate IT requirements in tthe design, development and assembly of components to create custom information systems.

Typical examples of the deliverables are functional and technical designs, models, components, code, unit test, and documentation.



Required Technical and Professional Expertise

From 1 to 3 years of professional experience in application development

Experience with or knowledge of DataStage or ETL development tools, Cognos

Experience with web technologies preferred: HTML, JavaScript, CSS, jQuery

Ability to set priorities and meet estimated project targets



Preferred Technical and Professional Expertise

Experience with or knowledge of Spark Python,Cloud, Airflow

Experience with or knowledge on SQL, database, Mainframe, Linux or DB2



About Business Unit

The IBM Finance organization is responsible for driving enterprise performance and transformation. We are the financial stewards of IBM, delivering IBM’s financial strategy, developing new business models, and mitigating enterprise risk. Do you have a passion for creating business value? Join our team in accounting, financial planning, pricing, business controls, tax, treasury, business development (acquisitions & divestitures), and global financing



Your Life @ IBM

What matters to you when you’re looking for your next career challenge?



Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.



Impact. Inclusion. Infinite Experiences. Do your best work ever.



About IBM

IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.



Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.



Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Senior JAVA Developer,EPICOR,"About Us: Epicor Software Corporation is a global technology leader dedicated to helping businesses drive growth for more than 45 years. Our modern, industry-specific software helps customers boost efficiency and productivity by simplifying and automating everyday processes. We have a stellar team of nearly 4,000 worldwide employees who are passionate about building exceptional products and solutions through teamwork, constant innovation, and integrity. We strive to hire and reward star players who inspire one another and drive results for the business and our customers.We're looking for a fantastic Software Developer JAVA to join our growing team. If you're passionate and deeply curious about finding solutions to new challenges and perfecting the design of our visionary Epicor product suite, you could be the perfect fit for this role.We're seeking a candidate who has experience in developing solutions using Java or any other JVM language, object-oriented design experience, SQL proficiency, etc.Does this sound like you? Good, keep reading.What You'll Do: It's all in the name. Develop our software products to make them the best in the industry.Dream up and build new applications. Get creative and focus on solving problems for our customers.Write, test, and deploy code using established standards and procedures.Stay on track by following best practices and established processes for large, complex projects.Maintain, refine, and troubleshoot challenges with existing software to make sure it's up to code (see what we did there?)What You Need to Succeed: Amazing problem-solving skillsCollaborative team player with great communicationWell-organized with high attention to detail, and an obsession with quality4+ years of experience using JavaSQL proficiencyObjected oriented design experienceAdditional Skills That Could Set You Apart: Spring Boot, Spring MVC, or Spring DataREST services or SOAP servicesAngular or other JavaScript/TypeScript frameworksMongoDB or other document databaseRedis or other key-value data storeFamiliarity with Cloud technologies such as Azure or AWS#softwaredeveloper #swdev #desarrolloweb #desarrolladorweb #webdeveloper #.net #java #softwareengineerJob Type: Full-timePay: $25,000.00 - $60,000.00 per monthSchedule:8 hour shift"
Applications Developer 3,Oracle,"Applications Developer 3-20000T3O



Applicants are required to read, write, and speak the following languages: English

Preferred Qualifications


Preferred Qualifications - Internal

OAL Devops Business Intelligence!Work with Oracle's world class technology to develop, implement, and support Oracle's global infrastructure.As a member of OAL organization, assist with the analyze of existing complex programs and formulate logic for new complex internal systems. Prepare flowcharting, perform coding, and test/debug programs. Recommend changes to development, maintenance, and system standards.Job duties are varied and complex utilizing independent judgment.Requirements
Experience as business intelligence developer (3+ years of experience)
Very good SQL and PL/SQL skills
Experience working with ETL Tools (ODI 12c preferred)
Experience in OBIEE, Oracle Analytics Cloud (OAC) including Data Visual Analyzer is preferred
Experience troubleshooting BI issues.
CI/CD Knowledge.
High quality organizational and leadership skills
Outstanding communication and presentation abilities
Must be adaptable, flexible, organized and work well in a local and global team environment
Eager to learn new stuff and keep improving!

Detailed Description and Job Requirements

Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. Writes code, completes programming and performs testing and debugging of applications.



As a member of the software engineering division, you will perform high-level design based on provided external specifications. Specify, design and implement minor changes to existing software architecture. Build highly complex enhancements and resolve complex bugs. Build and execute unit tests and unit plans. Review integration and regression test plans created by QA. Communicate with QA and porting engineering as necessary to discuss minor changes to product functionality and to ensure quality and consistency across specific products.



Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.



Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.



Job: Product Development
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Regular Employee Hire
Organization: Oracle"
AWS Pyspark Sr Developer,Iberica Industries,"Una de las cuatro firmas de auditoría y consultoría se encuentra en búsqueda del siguiente perfil: AWS Pyspark Sr DeveloperRequisitos: Experiencia de desarrollo sólida con servicios de AWS (Lambda / Glue con Pyspark), conceptos arquitectónicos de Data Lake.Experiencia de 4 a 6 años.Inglés Avanzado.Conocimientos Plataforma AWS.Ofrecemos: Salario $50,000 mensuales.Horario de 09:00 a 19:00 hrs.
Lugar de trabajo: CDMXTipo de puesto: Tiempo completoSalario: $49,000.00 - $50,000.00 al mesExperiencia:desarrollo con servicios de AWS : 6 años (Requisito mínimo)Lambda / Glue con Pyspark: 6 años (Requisito mínimo)conceptos arquitectónicos de Data Lake: 6 años (Requisito mínimo)Plataforma AWS.: 6 años (Requisito mínimo)Nivel de Inglés:Nivel alto de negocios (Requisito mínimo)"
Salesforce Developer,Go Sinergia,"Fluent English, 100% remote positionSalesforce, Apex, Lightning componentsHas knowledge of Salesforce best practices along with governor limits.Analyze and review business, functional, and technical requirementsUnderstand and DevelopCustom fieldsCustom objects
Analytic snapshots
Record types
AppExchange packages
Workflow rules
Approval processes
Designation of Apex/visual force (determination of where code must be written, not actually writing the code)
Data flow and integration mechanics (not an ETL developer, but may configure an integration if it is GUI-based)
Module ownership in following aspects
Estimation
Requirement
Design
Coding
Testing
Technical Documentation
Release
Planning and monitoring the module tasks with subordinates
Create data migration workbook
Provides experienced guidance on the appropriate choice of platform technology.
Experience in methodologies such as Agile/SCRUM
May be required to be on call to provide support on a need-to basis
Contribute to key deployment documentation
Administer development environment(s)
Entity and data mapping for integration process flowsTipo de puesto: Tiempo completo, IndefinidoSalario: Hasta $70,000.00 al mesHorario:Lunes a viernesTurno de 8 horas"
"Frontend Developer Sr (VueJs, NodeJS)",Softtek,"Frontend Developer Sr (VueJs, NodeJS)

Ubicación: Ags/Mty/Ensenada/CDMX/Guadalajara



Job Description
 +2 years of experience as Web Developer :

FrontEnd: Vue.JS, Node.JS
RubyOnRails, Apache
APIs: Restful; GIT; Json
Database: Postgress
Cloud: AWS (Dev and Production Instances)
Middleware: Mirth

 Activities to Perform:

Get UI Assets and create the User Interfaces connecting with BackEnd using Node.JS or RubyOnRails.
Being able to query Postgress database
Being able to generate data normalization, integrity and design patterns for the Development Team
Create Technical Design Specs

Languages: Very Good English 80%



About Softtek: Founded in 1982, Softtek is a global provider of process-driven IT solutions with 30 offices in North America, Latin America, Europe and Asia. With 15 Global Delivery Centers in the U.S., Mexico, China, Brazil, Argentina, Costa Rica, Spain, Hungary and India, Softtek helps improve and produce predictable outcomes for top-tier corporations in over 20 countries. Softtek is the creator and a leader of the nearshore industry. For more information on what we do, who we are, and career opportunities, visit www.softtek.com / Follow us @Softtek on Twitter, and be our fan on Facebook www.facebook.com/softtek"
Software Supply Management,Ericsson,"Our Great Opportunity!
Come and join our Supply team!
As a Software Supply Management resource we need you to prepare the complete Software Supply Chain and maintenance to secure an efficient order fulfillment during the product life cycle.


You will:
Work with an internal system for the generation of license (electronics license), included as well as quality assurance of license handling data.
Administrate licenses and keys, on media a software code.
Work with Excel almost all the time, handle ""Cora"" with the administrative part of the tickets.
Deliver the tickets and schedules them. Prepare a complete supply chain for software deliveries.
Delivery of company licenses for any type of technology.
Support and licensing for all Ericsson products
Give support and mentorship in our area; including collaboration with partners, acting as an advisor, and working with improvements in the License Handling area.

To be successful in the role you must have:
Education Degree.- Computer Engineer, Systems, Informatics, or related.
Years of experience.- 1 to 3 years in procurement.
English- Proficient
Intermediate excel management (dynamic tables and interpretation of information, macros, ordering data).
Programming, analytics skills. (Worked before with programming, with macros, Visual Basics, scripts, analytics and digital transformation skills. Python or Java Developer).
When working, identify points of automation.
Willing to roll shifts every month (7am to 4pm, 10am to 7pm and 4pm to 12am), and work one Saturday every eight weeks.
Sense of urgency and prioritize.


What´s in it for you?
Here at Ericsson, our culture is built on over a century of courageous decisions. With us, you will no longer be dreaming of what the future holds – you will be redefining it. You won’t develop for the status quo, but will build what replaces it. Joining us is a way to move your career in any direction you want; with hundreds of career opportunities in locations all over the world, in a place where co-creation and collaboration are embedded into the walls. You will find yourself in a speak-up environment where empathy and humanness serve as cornerstones for how we work, and where work-life balance is a priority. Welcome to an inclusive, global company where your opportunity to make an impact is endless.


What happens once you apply?
To prepare yourself for next steps, please explore here: https://www.ericsson.com/en/careers/job-opportunities/hiring-process
We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request an accommodation.


Do you believe that an organization fostering an environment of cooperation and collaboration to execute with speed creates better business value? Do you value a culture of humanness, where fact based decisions are important and our people are encouraged to speak up? Do you believe that diverse, inclusive teams drive performance and innovation? At Ericsson, we do.
We provide equal employment opportunities without regard to race, color, gender, sexual orientation, transgender status, gender identity and/or expression, marital status, pregnancy, parental status, religion, political opinion, nationality, ethnic background, social origin, social status, indigenous status, disability, age, union membership or employee representation and any other characteristic protected by local law or Ericsson’s Code of Business Ethics.


Primary country and city: Mexico (MX) || || Mexico City || Supply&Log
Req ID: 452625"
RUBY DEVELOPER,Xperiencia Laboral,"Esta vacante viene de la bolsa de empleo Talenteca.com


Developer ruby, remote work


Job Descript


You'll work closely with software designers, developers, and sometimes end users, to understand more about what each product is meant to do, its key features and who will use it. You'll often be working on more than one project at a time, one product in first phase testing and another in its second or final phase.


Responsibilities:


When you apply at a company you want to have some idea of the kinds of projects

you may eventually help with, here is just a small list of what we're currently working

on:


Design, build and maintain efficient, reusable, and reliable Ruby code
Integration of data storage solutions for MySQL, Postgres, and CouchDB


Integration of user-facing elements developed by front-end developers with server-side logic
Identify bottlenecks and bugs, and devise solutions to these problems
Help maintain code quality, organization, and automatization


Skills:


Experience with Ruby on Rails, along with other standard libraries
Good understanding of the syntax of Ruby and its nuances
Solid understanding of object-oriented programming
Good understanding of server-side templating languages such as Haml
Good understanding of server-side CSS preprocessors such as Sass
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Familiarity with concepts of MVC, Mocking, ORM, and RESTful
A knack for writing clean, readable Ruby code
Ability to integrate multiple data sources and databases into one system
Understanding of fundamental design principles behind a scalable application
Able to create database schemas that represent and support business processes
Able to implement automated testing platforms and unit tests
Proficient understanding of Git
Familiarity with development aiding tools Bundler, Webpacker
Familiarity with continuous integration


Bonus


Some knowledge of background processing tools, such as Sidekiq
Elixir and Phoenix framework experience.

Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/guadalajara/ruby-developer/5fa45aa04e00002123759baet1?source=indeed"
